Language,Language (local),Wiki,Articles,All pages,Edits,Admins,Users,Active users,Files,Depth
English,English,en,7099779,64578723,1320672576,825,50424832,294705,953899,1340
Cebuano,Cebuano,ceb,6115852,11230188,36794200,7,134536,192,3,2
German,Deutsch,de,3074288,8431671,260145940,169,4850060,39942,130266,93
French,français,fr,2723575,13753818,230667591,144,5491905,42097,77521,275
Swedish,svenska,sv,2619426,6344537,58562908,65,987018,5129,0,18
Dutch,Nederlands,nl,2204151,4744289,70095878,30,1479655,9433,20,19
Spanish,español,es,2077755,8541693,170317784,52,7583833,32644,0,192
Russian,???????,ru,2074133,8431609,150105533,62,3835332,7676,263039,167
Italian,italiano,it,1946602,8487785,148003739,108,2777440,33127,122588,196
Polish,polski,pl,1676593,3960576,77999582,96,1465530,12226,264,36
Egyptian Arabic,????,arz,1629743,2202470,12820759,6,274459,363,1310,0
Chinese,??,zh,1513418,8249980,90131324,66,3907057,16965,69238,216
Japanese,???,ja,1482408,4355420,107251759,40,2484279,26612,5874,92
Ukrainian,??????????,uk,1398752,5091458,46733414,49,853687,6246,114120,63
Vietnamese,Ti?ng Vi?t,vi,1296494,12874386,74499985,17,1019753,3933,27342,461
Arabic,???????,ar,1288160,8984752,72535033,26,2831870,7309,55853,288
Waray,Winaray,war,1266829,2870617,7726144,3,64806,91,42,4
Portuguese,português,pt,1161317,6013149,71101436,50,3322084,8299,66644,206
Persian,?????,fa,1063768,6004428,43043381,36,1469305,11478,96798,154
Catalan,català,ca,785004,1970428,36517137,26,537589,3219,11374,42
Indonesian,Bahasa Indonesia,id,756820,4182502,28625264,48,1614697,6684,64508,140
Korean,???,ko,731170,3483954,40868205,26,956498,7153,15066,166
Serbian,?????? / srpski,sr,713312,4218699,30539832,15,500843,2188,39891,174
Chechen,???????,ce,688323,1322257,11115770,3,43754,64,334,7
Norwegian,norsk,no,661942,1881904,25440015,36,682685,2908,4,45
Turkish,Türkçe,tr,654099,3382849,36407422,23,1748688,5350,43990,187
Finnish,suomi,fi,608640,1562678,23652313,35,627163,3670,79816,37
Czech,?eština,cs,581312,1620844,25426454,33,742135,5652,1,50
Hungarian,magyar,hu,563546,1602180,28526150,23,606095,2777,9406,60
Tatar,??????? / tatarça,tt,562143,899678,4681765,8,58032,111,6903,1
Romanian,român?,ro,518571,2936962,17234507,18,722516,2345,120001,127
Basque,euskara,eu,476448,1022464,10455482,12,183202,1420,0,13
Serbo-Croatian,srpskohrvatski / ??????????????,sh,461217,4627199,42494928,8,304346,406,9983,749
Malay,Bahasa Melayu,ms,434886,1168738,6699141,13,373111,2830,17905,16
Minnan,??? / Bân-lâm-gí,zh-min-nan,433852,1074938,3251767,3,70530,134,292,6
Hebrew,?????,he,386804,1627812,42205557,26,1258473,8397,86605,266
Esperanto,Esperanto,eo,378666,849511,9217924,13,245565,522,19431,16
Armenian,???????,hy,323235,1186776,10607676,10,161343,759,12363,63
Uzbek,o?zbekcha / ???????,uz,317898,1167249,5812952,10,218325,924,3946,35
Danish,dansk,da,311678,977303,12142861,25,539981,1804,0,56
Bulgarian,?????????,bg,306758,694602,12734981,20,373900,2378,13,29
Welsh,Cymraeg,cy,283809,535219,14341810,11,102529,174,12131,21
Simple English,Simple English,simple,276897,918558,10634372,24,1680184,5046,36,62
Greek,????????,el,261806,736113,11373889,22,474487,2714,19613,50
Belarusian,??????????,be,257577,720152,5055292,9,159106,412,3548,22
Slovak,sloven?ina,sk,256938,595768,8103853,11,277007,1545,0,23
Estonian,eesti,et,256189,603913,7022839,36,215587,1455,672,21
South Azerbaijani,??????,azb,244421,579871,1580890,4,58986,128,529,5
Kazakh,???????,kk,241277,657135,3519743,16,171142,424,8613,15
Urdu,????,ur,235812,2303997,9226885,8,202694,393,8376,308
Minangkabau,Minangkabau,min,228708,473764,3341205,5,22518,106,180,8
Croatian,hrvatski,hr,228593,493803,7332723,14,341872,1418,21139,19
Galician,galego,gl,228029,560172,7241510,6,161271,499,34,27
Lithuanian,lietuvi?,lt,224336,560012,7691508,9,206219,814,26975,30
Azerbaijani,az?rbaycanca,az,209509,637526,8380981,12,326085,1125,14612,54
Slovenian,slovenš?ina,sl,195779,499427,6536216,22,249270,792,8855,31
Georgian,???????,ka,187943,523264,4933161,6,174823,507,15885,30
Ladin,Ladin,lld,180830,188193,245351,3,11699,60,4,0
Tamil,?????,ta,178854,609247,4404865,32,250466,618,9562,41
Bangla,?????,bn,177959,1368914,8602751,15,514459,2340,20958,281
Thai,???,th,177953,1146890,12673282,20,521358,3599,6344,327
Norwegian Nynorsk,norsk nynorsk,nn,176928,398567,3624561,14,148140,206,10,14
Hindi,??????,hi,166845,1382515,6487047,7,879386,1251,4648,249
Macedonian,??????????,mk,156945,590067,5466383,12,127449,455,8807,70
Cantonese,??,zh-yue,148161,334169,2347845,11,314702,1012,3029,11
Latin,Latina,la,140773,291075,3919197,21,199412,230,0,15
Latvian,latviešu,lv,138992,556721,4364403,14,136954,721,28091,70
Asturian,asturianu,ast,138238,247249,4444639,7,140295,194,0,11
Afrikaans,Afrikaans,af,127341,433581,2851342,14,197002,304,9888,38
Telugu,??????,te,117261,400751,4585797,11,141069,414,14759,66
Tajik,??????,tg,116063,283770,1445407,6,97230,127,531,10
Burmese,??????????,my,109836,261220,956204,4,134317,344,2935,6
Albanian,shqip,sq,104781,320640,2873000,5,178763,507,3434,38
Swahili,Kiswahili,sw,102763,207027,1467777,14,84064,394,1189,7
Malagasy,Malagasy,mg,101444,258931,1122945,2,37571,73,3,10
Marathi,?????,mr,100828,326219,2628529,10,175104,394,2432,40
Bosnian,bosanski,bs,96231,381955,3774069,9,174376,309,5303,87
Kurdish,kurdî,ku,90934,289476,1964860,3,121491,177,555,32
Occitan,occitan,oc,90415,166438,2476188,4,60798,149,305,10
Belarusian (Taraškievica orthography),?????????? (???????????),be-tarask,90058,263920,2637739,4,93405,267,2183,37
Breton,brezhoneg,br,89954,160198,2164676,6,87690,135,514,8
Malayalam,??????,ml,87427,548443,4333674,13,197490,592,7426,219
Low German,Plattdüütsch,nds,85774,185119,1046246,3,59605,69,0,7
Lombard,lombard,lmo,79848,152642,1318840,3,50170,81,795,7
Central Kurdish,?????,ckb,79295,251985,1553482,7,71922,198,2984,29
Kyrgyz,????????,ky,76114,110246,571572,3,45367,136,2677,1
Western Punjabi,??????,pnb,74789,140557,693977,2,42487,66,31,3
Javanese,Jawa,jv,74739,185550,1735727,5,69364,228,4343,20
Hausa,Hausa,ha,73046,111608,741050,14,39700,242,0,1
Newari,????? ????,new,72653,169907,883108,2,30281,26,0,9
Haitian Creole,Kreyòl ayisyen,ht,71399,92889,875461,2,37259,100,0,0
Piedmontese,Piemontèis,pms,70692,106718,878893,4,30541,48,1893,2
Venetian,vèneto,vec,69528,143318,1221060,4,40226,63,724,9
Luxembourgish,Lëtzebuergesch,lb,66138,144016,2643629,8,68292,164,2543,25
Mazanderani,????????,mzn,64364,107039,325833,4,43732,57,418,1
Bashkir,?????????,ba,63916,183919,1287260,4,45912,78,1430,24
Irish,Gaeilge,ga,62674,112243,1286321,7,69495,151,1007,7
Sundanese,Sunda,su,62155,99753,691568,7,34821,70,419,2
Icelandic,íslenska,is,60861,158845,1933477,11,109606,314,3276,31
Ido,Ido,io,60148,88170,1091490,4,43637,86,0,2
Silesian,?l?nski,szl,59607,76003,381531,3,28331,51,0,0
Punjabi,??????,pa,59210,190365,824035,10,56563,180,1863,21
Western Frisian,Frysk,fy,58683,175922,1209509,7,55469,101,7606,27
Chuvash,???????,cv,58165,121112,864481,2,38723,61,530,8
Aragonese,aragonés,an,50760,183781,2344560,9,85368,86,1912,87
Tagalog,Tagalog,tl,48801,247994,2180799,10,155257,347,1823,146
Gilaki,?????,glk,48351,57649,154647,2,17911,30,811,0
Wu,??,wuu,47020,71621,381368,4,177127,113,6,1
Volapük,Volapük,vo,46361,164070,3321162,2,39459,38,0,130
Igbo,Igbo,ig,44094,60543,344907,4,34228,117,0,0
Dimli,Zazaki,diq,42353,63899,538494,3,32256,40,193,2
Yoruba,Yorùbá,yo,36355,61112,605512,4,32671,112,160,4
Balinese,Basa Bali,ban,34510,70366,242912,4,66096,130,141,3
Scots,Scots,sco,34282,138200,903494,3,122858,137,423,60
Kannada,?????,kn,34091,157779,1314683,5,94753,317,2363,109
Alemannic,Alemannisch,als,31408,74710,1074512,7,115074,146,596,27
Gujarati,???????,gu,30724,134716,893184,3,83839,152,0,75
Interlingua,interlingua,ia,30151,45844,685428,6,56887,48,4,4
Kotava,Kotava,avk,29899,36349,146410,6,7686,27,0,0
Crimean Tatar,q?r?mtatarca,crh,29623,57556,240806,2,55932,46,0,3
Nepali,??????,ne,29347,112090,1325318,6,74521,191,1472,93
Bavarian,Boarisch,bar,27202,110584,850006,2,77429,73,1153,72
Mongolian,??????,mn,26523,113448,839660,5,99835,291,1341,79
Sicilian,sicilianu,scn,26264,56035,769994,4,49144,68,1077,17
Bishnupriya,????????????? ???????,bpy,25092,63452,895180,2,27577,17,35,32
Sinhala,?????,si,24821,166310,769598,3,75384,188,2934,150
Saraiki,???????,skr,24335,28731,65439,2,3875,25,0,0
Quechua,Runa Simi,qu,24329,58446,682366,1,33394,55,0,22
Navajo,Diné bizaad,nv,22664,37321,308449,2,20020,20,736,3
Mingrelian,?????????,xmf,21947,41572,243668,3,22192,37,0,4
Ossetic,????,os,21394,76533,589934,3,27319,41,149,51
Central Bikol,Bikol Central,bcl,21229,50054,298816,4,29339,91,798,11
Pashto,????,ps,20833,75004,357276,3,37487,77,1815,32
Northern Frisian,Nordfriisk,frr,20688,51306,275413,4,23338,28,1482,11
Assamese,???????,as,20582,116701,560154,6,47012,173,2376,104
Odia,?????,or,20096,85517,571826,4,40191,94,170,70
Sindhi,????,sd,19685,70604,341552,4,21121,44,158,32
Tumbuka,chiTumbuka,tum,18796,39192,106508,4,10709,32,138,3
Yakut,???? ????,sah,17817,53961,421771,4,27984,58,1765,32
Samogitian,žemait?ška,bat-smg,17274,30066,362350,4,28309,32,109,6
Mindong,??? / Mìng-d??ng-ng??,cdo,16693,33554,104318,3,24187,32,0,3
Scottish Gaelic,Gàidhlig,gd,16019,32594,579357,5,31211,40,290,19
Buginese,Basa Ugi,bug,15957,20477,205581,1,14867,20,0,0
Yiddish,??????,yi,15639,44418,598005,3,58522,61,985,45
Amharic,????,am,15458,46433,387273,1,53426,86,1359,33
Iloko,Ilokano,ilo,15440,70546,404377,2,19396,41,0,73
Limburgish,Limburgs,li,15145,68666,483540,7,32308,42,622,87
Neapolitan,Napulitano,nap,14937,24158,670632,3,33372,36,287,10
Gorontalo,Bahasa Hulontalo,gor,14911,24429,63334,3,7777,50,0,1
