?,Language,Articles,All pages,Edits,Admins,Users,Active users,Files,Depth
1,English,7099779,64578723,1320672576,825,50424832,294705,953899,1340
2,Cebuano,6115852,11230188,36794200,7,134536,192,3,2
3,German,3074288,8431671,260145940,169,4850060,39942,130266,93
4,French,2723575,13753818,230667591,144,5491905,42097,77521,275
5,Swedish,2619426,6344537,58562908,65,987018,5129,0,18
6,Dutch,2204151,4744289,70095878,30,1479655,9433,20,19
7,Spanish,2077755,8541693,170317784,52,7583833,32644,0,192
8,Russian,2074133,8431609,150105533,62,3835332,7676,263039,167
9,Italian,1946602,8487785,148003739,108,2777440,33127,122588,196
10,Polish,1676593,3960576,77999582,96,1465530,12226,264,36
11,Egyptian Arabic,1629743,2202470,12820759,6,274459,363,1310,0
12,Chinese,1513418,8249980,90131324,66,3907057,16965,69238,216
13,Japanese,1482408,4355420,107251759,40,2484279,26612,5874,92
14,Ukrainian,1398752,5091458,46733414,49,853687,6246,114120,63
15,Vietnamese,1296494,12874386,74499985,17,1019753,3933,27342,461
16,Arabic,1288160,8984752,72535033,26,2831870,7309,55853,288
17,Waray,1266829,2870617,7726144,3,64806,91,42,4
18,Portuguese,1161317,6013149,71101436,50,3322084,8299,66644,206
19,Persian,1063768,6004428,43043381,36,1469305,11478,96798,154
20,Catalan,785004,1970428,36517137,26,537589,3219,11374,42
21,Indonesian,756820,4182502,28625264,48,1614697,6684,64508,140
22,Korean,731170,3483954,40868205,26,956498,7153,15066,166
23,Serbian,713312,4218699,30539832,15,500843,2188,39891,174
24,Chechen,688323,1322257,11115770,3,43754,64,334,7
25,Norwegian,661942,1881904,25440015,36,682685,2908,4,45
26,Turkish,654099,3382849,36407422,23,1748688,5350,43990,187
27,Finnish,608640,1562678,23652313,35,627163,3670,79816,37
28,Czech,581312,1620844,25426454,33,742135,5652,1,50
29,Hungarian,563546,1602180,28526150,23,606095,2777,9406,60
30,Tatar,562143,899678,4681765,8,58032,111,6903,1
31,Romanian,518571,2936962,17234507,18,722516,2345,120001,127
32,Basque,476448,1022464,10455482,12,183202,1420,0,13
33,Serbo-Croatian,461217,4627199,42494928,8,304346,406,9983,749
34,Malay,434886,1168738,6699141,13,373111,2830,17905,16
35,Minnan,433852,1074938,3251767,3,70530,134,292,6
